recipe_name,cuisine_type,meal_type,difficulty_level,prep_time_minutes,cook_time_minutes,servings,main_ingredients,all_ingredients,dietary_restrictions,instructions,nutritional_info
Chinese Tofu Dumplings,Chinese,Breakfast,Hard,52,39,3,"Tofu, Spinach, Tomatoes","Tofu, Spinach, Tomatoes, Chili, Olive Oil, Herbs, Cream","Contains nuts, Halal","Prepare Tofu, Spinach, Tomatoes. Cook with Tofu, Spinach, Tomatoes, Chili, Olive Oil, Herbs, Cream. Season and serve.","Calories: 478, Protein: 12g, Carbs: 77g, Fat: 22g"
African Tomatoes Groundnut Stew,African,Dinner,Medium,50,161,7,"Tomatoes, Tofu, Spinach","Tomatoes, Tofu, Spinach, Honey, Butter, Flour, Soy Sauce","Vegetarian, Low-carb, Contains nuts","Prepare Tomatoes, Tofu, Spinach. Cook with Tomatoes, Tofu, Spinach, Honey, Butter, Flour, Soy Sauce. Season and serve.","Calories: 430, Protein: 26g, Carbs: 48g, Fat: 24g"
Mediterranean Pasta Soup,Mediterranean,Dinner,Hard,71,169,1,"Pasta, Spinach, Tomatoes","Pasta, Spinach, Tomatoes, Yogurt, Butter, Chili, Spices","Contains shellfish, Kosher","Prepare Pasta, Spinach, Tomatoes. Cook with Pasta, Spinach, Tomatoes, Yogurt, Butter, Chili, Spices. Season and serve.","Calories: 429, Protein: 39g, Carbs: 62g, Fat: 15g"
Mexican Cheese Bowl,Mexican,Breakfast,Medium,63,45,4,"Cheese, Chicken, Beef","Cheese, Chicken, Beef, Honey, Soy Sauce, Spices, Onion","Vegan, Halal, Vegetarian","Prepare Cheese, Chicken, Beef. Cook with Cheese, Chicken, Beef, Honey, Soy Sauce, Spices, Onion. Season and serve.","Calories: 228, Protein: 33g, Carbs: 70g, Fat: 8g"
American Shrimp Sandwich,American,Lunch,Medium,56,166,8,"Shrimp, Cheese, Tofu","Shrimp, Cheese, Tofu, Cream, Soy Sauce, Honey, Garlic","Low-carb, Contains dairy","Prepare Shrimp, Cheese, Tofu. Cook with Shrimp, Cheese, Tofu, Cream, Soy Sauce, Honey, Garlic. Season and serve.","Calories: 302, Protein: 32g, Carbs: 16g, Fat: 21g"
Indian Eggs Salad,Indian,Lunch,Easy,67,57,1,"Eggs, Chicken, Pork","Eggs, Chicken, Pork, Onion, Chili, Garlic, Honey","Contains shellfish, Vegetarian","Prepare Eggs, Chicken, Pork. Cook with Eggs, Chicken, Pork, Onion, Chili, Garlic, Honey. Season and serve.","Calories: 375, Protein: 15g, Carbs: 21g, Fat: 19g"
American Rice Roast,American,Lunch,Hard,9,96,6,"Rice, Tofu, Mushrooms","Rice, Tofu, Mushrooms, Cream, Milk, Yogurt, Sugar",Vegan,"Prepare Rice, Tofu, Mushrooms. Cook with Rice, Tofu, Mushrooms, Cream, Milk, Yogurt, Sugar. Season and serve.","Calories: 222, Protein: 25g, Carbs: 27g, Fat: 16g"
Indian Spinach Salad,Indian,Lunch,Medium,41,72,3,"Spinach, Pasta, Potatoes","Spinach, Pasta, Potatoes, Olive Oil, Onion, Sugar, Butter","Contains shellfish, Paleo, Low-carb","Prepare Spinach, Pasta, Potatoes. Cook with Spinach, Pasta, Potatoes, Olive Oil, Onion, Sugar, Butter. Season and serve.","Calories: 649, Protein: 22g, Carbs: 16g, Fat: 14g"
Korean Cheese Stir-Fry,Korean,Lunch,Medium,30,157,8,"Cheese, Fish, Potatoes","Cheese, Fish, Potatoes, Chili, Honey, Milk, Butter","Low-carb, Halal, Contains nuts","Prepare Cheese, Fish, Potatoes. Cook with Cheese, Fish, Potatoes, Chili, Honey, Milk, Butter. Season and serve.","Calories: 310, Protein: 23g, Carbs: 28g, Fat: 24g"
Korean Tofu Brownies,Korean,Desserts,Hard,44,105,1,"Tofu, Fish, Pasta","Tofu, Fish, Pasta, Spices, Flour, Herbs, Cream","Contains shellfish, Contains nuts, Gluten-free","Prepare Tofu, Fish, Pasta. Cook with Tofu, Fish, Pasta, Spices, Flour, Herbs, Cream. Season and serve.","Calories: 687, Protein: 5g, Carbs: 56g, Fat: 12g"
Thai Tomatoes Power Bowl,Thai,Lunch,Hard,25,2,2,"Tomatoes, Fish, Mushrooms","Tomatoes, Fish, Mushrooms, Garlic, Spices, Milk, Sugar","Contains nuts, Vegan, Low-carb","Prepare Tomatoes, Fish, Mushrooms. Cook with Tomatoes, Fish, Mushrooms, Garlic, Spices, Milk, Sugar. Season and serve.","Calories: 359, Protein: 27g, Carbs: 75g, Fat: 16g"
French Pork Provençal Stew,French,Lunch,Medium,56,129,7,"Pork, Tomatoes, Tofu","Pork, Tomatoes, Tofu, Garlic, Honey, Milk, Sugar","Kosher, Gluten-free, Paleo","Prepare Pork, Tomatoes, Tofu. Cook with Pork, Tomatoes, Tofu, Garlic, Honey, Milk, Sugar. Season and serve.","Calories: 333, Protein: 17g, Carbs: 66g, Fat: 26g"
Spanish Lentils Salad,Spanish,Desserts,Hard,6,86,5,"Lentils, Eggs, Pork","Lentils, Eggs, Pork, Butter, Chili, Yogurt, Flour","Kosher, Contains nuts","Prepare Lentils, Eggs, Pork. Cook with Lentils, Eggs, Pork, Butter, Chili, Yogurt, Flour. Season and serve.","Calories: 352, Protein: 17g, Carbs: 45g, Fat: 29g"
Chinese Chicken Soup,Chinese,Desserts,Medium,29,125,5,"Chicken, Tomatoes, Pork","Chicken, Tomatoes, Pork, Spices, Yogurt, Onion, Milk",Vegetarian,"Prepare Chicken, Tomatoes, Pork. Cook with Chicken, Tomatoes, Pork, Spices, Yogurt, Onion, Milk. Season and serve.","Calories: 585, Protein: 29g, Carbs: 32g, Fat: 8g"
American Pork Pilaf,American,Breakfast,Medium,38,123,8,"Pork, Tomatoes, Beef","Pork, Tomatoes, Beef, Herbs, Sugar, Soy Sauce, Cream","Vegetarian, Kosher","Prepare Pork, Tomatoes, Beef. Cook with Pork, Tomatoes, Beef, Herbs, Sugar, Soy Sauce, Cream. Season and serve.","Calories: 366, Protein: 7g, Carbs: 57g, Fat: 10g"
Italian Tofu Soup,Italian,Desserts,Medium,15,167,1,"Tofu, Chicken, Rice","Tofu, Chicken, Rice, Onion, Cream, Flour, Yogurt","Paleo, Low-carb, Contains dairy","Prepare Tofu, Chicken, Rice. Cook with Tofu, Chicken, Rice, Onion, Cream, Flour, Yogurt. Season and serve.","Calories: 478, Protein: 15g, Carbs: 52g, Fat: 15g"
Vietnamese Mushrooms Vermicelli Bowl,Vietnamese,Lunch,Hard,5,42,4,"Mushrooms, Pasta, Cheese","Mushrooms, Pasta, Cheese, Herbs, Chili, Garlic, Flour","Contains dairy, Low-carb, Kosher","Prepare Mushrooms, Pasta, Cheese. Cook with Mushrooms, Pasta, Cheese, Herbs, Chili, Garlic, Flour. Season and serve.","Calories: 485, Protein: 17g, Carbs: 42g, Fat: 21g"
Mexican Beef Burrito Bowl,Mexican,Dinner,Hard,35,161,5,"Beef, Tomatoes, Chicken","Beef, Tomatoes, Chicken, Sugar, Garlic, Herbs, Spices","Vegetarian, Kosher, Contains nuts","Prepare Beef, Tomatoes, Chicken. Cook with Beef, Tomatoes, Chicken, Sugar, Garlic, Herbs, Spices. Season and serve.","Calories: 541, Protein: 34g, Carbs: 41g, Fat: 15g"
Chinese Rice Skillet,Chinese,Desserts,Medium,5,137,1,"Rice, Pork, Potatoes","Rice, Pork, Potatoes, Flour, Garlic, Herbs, Honey","Contains shellfish, Kosher","Prepare Rice, Pork, Potatoes. Cook with Rice, Pork, Potatoes, Flour, Garlic, Herbs, Honey. Season and serve.","Calories: 600, Protein: 37g, Carbs: 29g, Fat: 23g"
Korean Tomatoes Cookies,Korean,Desserts,Hard,5,142,2,"Tomatoes, Chicken, Shrimp","Tomatoes, Chicken, Shrimp, Chili, Garlic, Olive Oil, Cream","Contains nuts, Contains shellfish","Prepare Tomatoes, Chicken, Shrimp. Cook with Tomatoes, Chicken, Shrimp, Chili, Garlic, Olive Oil, Cream. Season and serve.","Calories: 264, Protein: 30g, Carbs: 14g, Fat: 9g"
Korean Fish Gochujang Stir-Fry,Korean,Lunch,Hard,26,142,5,"Fish, Mushrooms, Spinach","Fish, Mushrooms, Spinach, Cream, Spices, Soy Sauce, Herbs",Contains shellfish,"Prepare Fish, Mushrooms, Spinach. Cook with Fish, Mushrooms, Spinach, Cream, Spices, Soy Sauce, Herbs. Season and serve.","Calories: 304, Protein: 28g, Carbs: 37g, Fat: 16g"
Mediterranean Spinach Crumble,Mediterranean,Desserts,Hard,11,154,7,"Spinach, Tomatoes, Shrimp","Spinach, Tomatoes, Shrimp, Cream, Chili, Onion, Sugar",Contains nuts,"Prepare Spinach, Tomatoes, Shrimp. Cook with Spinach, Tomatoes, Shrimp, Cream, Chili, Onion, Sugar. Season and serve.","Calories: 438, Protein: 11g, Carbs: 74g, Fat: 7g"
Mexican Beef Casserole,Mexican,Dinner,Medium,14,46,8,"Beef, Mushrooms, Pork","Beef, Mushrooms, Pork, Sugar, Garlic, Spices, Soy Sauce","Kosher, Contains shellfish","Prepare Beef, Mushrooms, Pork. Cook with Beef, Mushrooms, Pork, Sugar, Garlic, Spices, Soy Sauce. Season and serve.","Calories: 373, Protein: 6g, Carbs: 19g, Fat: 24g"
African Fish Pudding,African,Desserts,Hard,56,75,8,"Fish, Cheese, Shrimp","Fish, Cheese, Shrimp, Milk, Garlic, Yogurt, Herbs",Contains shellfish,"Prepare Fish, Cheese, Shrimp. Cook with Fish, Cheese, Shrimp, Milk, Garlic, Yogurt, Herbs. Season and serve.","Calories: 299, Protein: 10g, Carbs: 26g, Fat: 5g"
Korean Tomatoes Roast,Korean,Snacks,Easy,38,86,7,"Tomatoes, Pork, Eggs","Tomatoes, Pork, Eggs, Spices, Garlic, Milk, Flour","Contains nuts, Halal, Paleo","Prepare Tomatoes, Pork, Eggs. Cook with Tomatoes, Pork, Eggs, Spices, Garlic, Milk, Flour. Season and serve.","Calories: 544, Protein: 22g, Carbs: 64g, Fat: 6g"
African Potatoes Curry,African,Dinner,Hard,12,13,7,"Potatoes, Beef, Cheese","Potatoes, Beef, Cheese, Herbs, Yogurt, Honey, Milk","Paleo, Halal","Prepare Potatoes, Beef, Cheese. Cook with Potatoes, Beef, Cheese, Herbs, Yogurt, Honey, Milk. Season and serve.","Calories: 406, Protein: 35g, Carbs: 24g, Fat: 18g"
Mediterranean Spinach Parfait,Mediterranean,Breakfast,Medium,85,8,8,"Spinach, Beef, Cheese","Spinach, Beef, Cheese, Flour, Herbs, Yogurt, Cream","Gluten-free, Contains dairy","Prepare Spinach, Beef, Cheese. Cook with Spinach, Beef, Cheese, Flour, Herbs, Yogurt, Cream. Season and serve.","Calories: 658, Protein: 5g, Carbs: 44g, Fat: 18g"
Middle Eastern Pasta Roast,Middle Eastern,Dinner,Hard,81,86,6,"Pasta, Shrimp, Fish","Pasta, Shrimp, Fish, Olive Oil, Milk, Yogurt, Honey","Paleo, Kosher","Prepare Pasta, Shrimp, Fish. Cook with Pasta, Shrimp, Fish, Olive Oil, Milk, Yogurt, Honey. Season and serve.","Calories: 468, Protein: 33g, Carbs: 49g, Fat: 27g"
Vietnamese Lentils Salad,Vietnamese,Desserts,Hard,14,180,5,"Lentils, Shrimp, Pork","Lentils, Shrimp, Pork, Chili, Soy Sauce, Honey, Butter",Halal,"Prepare Lentils, Shrimp, Pork. Cook with Lentils, Shrimp, Pork, Chili, Soy Sauce, Honey, Butter. Season and serve.","Calories: 592, Protein: 26g, Carbs: 10g, Fat: 16g"
Middle Eastern Pork Crumble,Middle Eastern,Desserts,Medium,15,0,4,"Pork, Fish, Cheese","Pork, Fish, Cheese, Cream, Butter, Onion, Honey","Gluten-free, Contains nuts","Prepare Pork, Fish, Cheese. Cook with Pork, Fish, Cheese, Cream, Butter, Onion, Honey. Season and serve.","Calories: 248, Protein: 7g, Carbs: 65g, Fat: 15g"
African Pork Groundnut Stew,African,Snacks,Hard,19,116,1,"Pork, Spinach, Lentils","Pork, Spinach, Lentils, Onion, Honey, Spices, Soy Sauce",Contains dairy,"Prepare Pork, Spinach, Lentils. Cook with Pork, Spinach, Lentils, Onion, Honey, Spices, Soy Sauce. Season and serve.","Calories: 339, Protein: 19g, Carbs: 37g, Fat: 19g"
Thai Tofu Stew,Thai,Lunch,Easy,73,131,7,"Tofu, Eggs, Shrimp","Tofu, Eggs, Shrimp, Chili, Sugar, Herbs, Garlic",Kosher,"Prepare Tofu, Eggs, Shrimp. Cook with Tofu, Eggs, Shrimp, Chili, Sugar, Herbs, Garlic. Season and serve.","Calories: 655, Protein: 31g, Carbs: 49g, Fat: 10g"
Japanese Pork Katsu,Japanese,Snacks,Medium,71,117,8,"Pork, Tofu, Shrimp","Pork, Tofu, Shrimp, Garlic, Flour, Yogurt, Spices",Paleo,"Prepare Pork, Tofu, Shrimp. Cook with Pork, Tofu, Shrimp, Garlic, Flour, Yogurt, Spices. Season and serve.","Calories: 423, Protein: 9g, Carbs: 61g, Fat: 22g"
French Mushrooms Soup,French,Lunch,Hard,75,54,5,"Mushrooms, Chicken, Tomatoes","Mushrooms, Chicken, Tomatoes, Yogurt, Honey, Flour, Milk","Kosher, Gluten-free","Prepare Mushrooms, Chicken, Tomatoes. Cook with Mushrooms, Chicken, Tomatoes, Yogurt, Honey, Flour, Milk. Season and serve.","Calories: 319, Protein: 14g, Carbs: 30g, Fat: 12g"
Mediterranean Fish Orzo Salad,Mediterranean,Snacks,Medium,16,133,8,"Fish, Chicken, Beef","Fish, Chicken, Beef, Milk, Herbs, Cream, Chili","Low-carb, Vegetarian, Halal","Prepare Fish, Chicken, Beef. Cook with Fish, Chicken, Beef, Milk, Herbs, Cream, Chili. Season and serve.","Calories: 322, Protein: 23g, Carbs: 68g, Fat: 12g"
Thai Lentils Larb,Thai,Dinner,Medium,72,130,2,"Lentils, Shrimp, Cheese","Lentils, Shrimp, Cheese, Butter, Sugar, Honey, Onion","Contains shellfish, Vegetarian","Prepare Lentils, Shrimp, Cheese. Cook with Lentils, Shrimp, Cheese, Butter, Sugar, Honey, Onion. Season and serve.","Calories: 655, Protein: 8g, Carbs: 72g, Fat: 7g"
Middle Eastern Spinach Shawarma,Middle Eastern,Breakfast,Easy,25,177,3,"Spinach, Beef, Chicken","Spinach, Beef, Chicken, Sugar, Butter, Chili, Flour","Vegetarian, Low-carb, Contains shellfish","Prepare Spinach, Beef, Chicken. Cook with Spinach, Beef, Chicken, Sugar, Butter, Chili, Flour. Season and serve.","Calories: 360, Protein: 34g, Carbs: 20g, Fat: 25g"
French Tofu Stir-Fry,French,Snacks,Easy,9,19,4,"Tofu, Mushrooms, Pasta","Tofu, Mushrooms, Pasta, Sugar, Herbs, Cream, Olive Oil","Halal, Kosher, Gluten-free","Prepare Tofu, Mushrooms, Pasta. Cook with Tofu, Mushrooms, Pasta, Sugar, Herbs, Cream, Olive Oil. Season and serve.","Calories: 541, Protein: 40g, Carbs: 70g, Fat: 16g"
Thai Mushrooms Salad,Thai,Desserts,Medium,36,110,6,"Mushrooms, Potatoes, Fish","Mushrooms, Potatoes, Fish, Cream, Butter, Flour, Milk",Contains dairy,"Prepare Mushrooms, Potatoes, Fish. Cook with Mushrooms, Potatoes, Fish, Cream, Butter, Flour, Milk. Season and serve.","Calories: 518, Protein: 32g, Carbs: 70g, Fat: 27g"
Chinese Shrimp Salad,Chinese,Breakfast,Medium,6,9,5,"Shrimp, Beef, Tofu","Shrimp, Beef, Tofu, Flour, Honey, Sugar, Soy Sauce",Contains nuts,"Prepare Shrimp, Beef, Tofu. Cook with Shrimp, Beef, Tofu, Flour, Honey, Sugar, Soy Sauce. Season and serve.","Calories: 517, Protein: 34g, Carbs: 39g, Fat: 16g"
American Tomatoes Bake,American,Desserts,Medium,33,69,8,"Tomatoes, Chicken, Pasta","Tomatoes, Chicken, Pasta, Yogurt, Butter, Milk, Chili",Vegan,"Prepare Tomatoes, Chicken, Pasta. Cook with Tomatoes, Chicken, Pasta, Yogurt, Butter, Milk, Chili. Season and serve.","Calories: 379, Protein: 33g, Carbs: 17g, Fat: 18g"
Mediterranean Tomatoes Stir-Fry,Mediterranean,Breakfast,Hard,16,151,6,"Tomatoes, Pasta, Chicken","Tomatoes, Pasta, Chicken, Soy Sauce, Olive Oil, Milk, Flour","Kosher, Vegan","Prepare Tomatoes, Pasta, Chicken. Cook with Tomatoes, Pasta, Chicken, Soy Sauce, Olive Oil, Milk, Flour. Season and serve.","Calories: 660, Protein: 21g, Carbs: 33g, Fat: 27g"
Mediterranean Rice Stew,Mediterranean,Snacks,Hard,30,62,1,"Rice, Pork, Chicken","Rice, Pork, Chicken, Sugar, Spices, Herbs, Honey","Low-carb, Vegan, Vegetarian","Prepare Rice, Pork, Chicken. Cook with Rice, Pork, Chicken, Sugar, Spices, Herbs, Honey. Season and serve.","Calories: 381, Protein: 25g, Carbs: 18g, Fat: 19g"
Vietnamese Tomatoes Dip,Vietnamese,Snacks,Hard,39,85,8,"Tomatoes, Tofu, Spinach","Tomatoes, Tofu, Spinach, Onion, Herbs, Cream, Butter","Vegetarian, Kosher","Prepare Tomatoes, Tofu, Spinach. Cook with Tomatoes, Tofu, Spinach, Onion, Herbs, Cream, Butter. Season and serve.","Calories: 445, Protein: 5g, Carbs: 12g, Fat: 20g"
American Mushrooms Roast,American,Desserts,Medium,71,15,8,"Mushrooms, Shrimp, Cheese","Mushrooms, Shrimp, Cheese, Sugar, Yogurt, Butter, Chili",Gluten-free,"Prepare Mushrooms, Shrimp, Cheese. Cook with Mushrooms, Shrimp, Cheese, Sugar, Yogurt, Butter, Chili. Season and serve.","Calories: 324, Protein: 8g, Carbs: 14g, Fat: 13g"
Mediterranean Potatoes Stew,Mediterranean,Dinner,Hard,35,58,3,"Potatoes, Cheese, Shrimp","Potatoes, Cheese, Shrimp, Honey, Herbs, Sugar, Butter","Halal, Paleo","Prepare Potatoes, Cheese, Shrimp. Cook with Potatoes, Cheese, Shrimp, Honey, Herbs, Sugar, Butter. Season and serve.","Calories: 456, Protein: 7g, Carbs: 19g, Fat: 18g"
French Mushrooms Roast,French,Snacks,Hard,28,107,6,"Mushrooms, Tomatoes, Tofu","Mushrooms, Tomatoes, Tofu, Milk, Butter, Garlic, Yogurt","Kosher, Contains nuts","Prepare Mushrooms, Tomatoes, Tofu. Cook with Mushrooms, Tomatoes, Tofu, Milk, Butter, Garlic, Yogurt. Season and serve.","Calories: 230, Protein: 40g, Carbs: 80g, Fat: 23g"
American Fish Bake,American,Desserts,Hard,71,51,5,"Fish, Shrimp, Eggs","Fish, Shrimp, Eggs, Garlic, Olive Oil, Chili, Yogurt","Contains nuts, Halal, Kosher","Prepare Fish, Shrimp, Eggs. Cook with Fish, Shrimp, Eggs, Garlic, Olive Oil, Chili, Yogurt. Season and serve.","Calories: 395, Protein: 15g, Carbs: 49g, Fat: 28g"
Mediterranean Pork Stir-Fry,Mediterranean,Snacks,Easy,42,106,2,"Pork, Shrimp, Spinach","Pork, Shrimp, Spinach, Cream, Onion, Olive Oil, Soy Sauce",Contains shellfish,"Prepare Pork, Shrimp, Spinach. Cook with Pork, Shrimp, Spinach, Cream, Onion, Olive Oil, Soy Sauce. Season and serve.","Calories: 398, Protein: 36g, Carbs: 44g, Fat: 14g"
Indian Beef Dip,Indian,Snacks,Easy,66,71,7,"Beef, Tomatoes, Potatoes","Beef, Tomatoes, Potatoes, Spices, Soy Sauce, Olive Oil, Milk","Contains dairy, Contains shellfish, Paleo","Prepare Beef, Tomatoes, Potatoes. Cook with Beef, Tomatoes, Potatoes, Spices, Soy Sauce, Olive Oil, Milk. Season and serve.","Calories: 674, Protein: 33g, Carbs: 30g, Fat: 14g"
Italian Potatoes Stew,Italian,Breakfast,Medium,64,36,4,"Potatoes, Rice, Eggs","Potatoes, Rice, Eggs, Cream, Butter, Garlic, Soy Sauce",Gluten-free,"Prepare Potatoes, Rice, Eggs. Cook with Potatoes, Rice, Eggs, Cream, Butter, Garlic, Soy Sauce. Season and serve.","Calories: 359, Protein: 37g, Carbs: 24g, Fat: 11g"
Middle Eastern Beef Bake,Middle Eastern,Lunch,Hard,48,59,1,"Beef, Fish, Lentils","Beef, Fish, Lentils, Soy Sauce, Herbs, Chili, Honey","Paleo, Low-carb","Prepare Beef, Fish, Lentils. Cook with Beef, Fish, Lentils, Soy Sauce, Herbs, Chili, Honey. Season and serve.","Calories: 338, Protein: 25g, Carbs: 71g, Fat: 12g"
Middle Eastern Spinach Bake,Middle Eastern,Breakfast,Medium,65,43,3,"Spinach, Beef, Rice","Spinach, Beef, Rice, Spices, Honey, Chili, Herbs","Contains shellfish, Low-carb, Kosher","Prepare Spinach, Beef, Rice. Cook with Spinach, Beef, Rice, Spices, Honey, Chili, Herbs. Season and serve.","Calories: 662, Protein: 39g, Carbs: 33g, Fat: 18g"
Japanese Potatoes Roast,Japanese,Snacks,Medium,59,76,7,"Potatoes, Eggs, Fish","Potatoes, Eggs, Fish, Olive Oil, Flour, Sugar, Chili","Contains shellfish, Gluten-free","Prepare Potatoes, Eggs, Fish. Cook with Potatoes, Eggs, Fish, Olive Oil, Flour, Sugar, Chili. Season and serve.","Calories: 578, Protein: 13g, Carbs: 54g, Fat: 14g"
Vietnamese Chicken Crumble,Vietnamese,Desserts,Hard,61,84,3,"Chicken, Fish, Spinach","Chicken, Fish, Spinach, Butter, Onion, Flour, Chili","Contains shellfish, Vegetarian, Contains dairy","Prepare Chicken, Fish, Spinach. Cook with Chicken, Fish, Spinach, Butter, Onion, Flour, Chili. Season and serve.","Calories: 518, Protein: 18g, Carbs: 47g, Fat: 28g"
Vietnamese Pasta Pilaf,Vietnamese,Lunch,Hard,8,100,5,"Pasta, Tofu, Shrimp","Pasta, Tofu, Shrimp, Chili, Herbs, Soy Sauce, Olive Oil","Gluten-free, Vegan, Vegetarian","Prepare Pasta, Tofu, Shrimp. Cook with Pasta, Tofu, Shrimp, Chili, Herbs, Soy Sauce, Olive Oil. Season and serve.","Calories: 330, Protein: 27g, Carbs: 65g, Fat: 12g"
African Lentils Tagine,African,Lunch,Hard,23,4,2,"Lentils, Shrimp, Eggs","Lentils, Shrimp, Eggs, Butter, Yogurt, Sugar, Onion","Contains shellfish, Kosher","Prepare Lentils, Shrimp, Eggs. Cook with Lentils, Shrimp, Eggs, Butter, Yogurt, Sugar, Onion. Season and serve.","Calories: 450, Protein: 32g, Carbs: 66g, Fat: 14g"
French Beef Soup,French,Lunch,Easy,80,49,6,"Beef, Potatoes, Eggs","Beef, Potatoes, Eggs, Honey, Olive Oil, Onion, Spices",Paleo,"Prepare Beef, Potatoes, Eggs. Cook with Beef, Potatoes, Eggs, Honey, Olive Oil, Onion, Spices. Season and serve.","Calories: 366, Protein: 34g, Carbs: 16g, Fat: 29g"
Mediterranean Mushrooms Mezze Bowl,Mediterranean,Snacks,Hard,79,109,2,"Mushrooms, Spinach, Cheese","Mushrooms, Spinach, Cheese, Spices, Honey, Sugar, Cream",Kosher,"Prepare Mushrooms, Spinach, Cheese. Cook with Mushrooms, Spinach, Cheese, Spices, Honey, Sugar, Cream. Season and serve.","Calories: 641, Protein: 10g, Carbs: 70g, Fat: 22g"
